steamid,appid,playtime_forever
76561198149690895,291550,3835
76561198149690895,292030,2306
76561198149690895,301860,113
76561198149690895,304050,4690
76561198149690895,304930,20605
76561198149690895,305620,2174
76561198149690895,306130,214851
76561198149690895,313120,458
76561198149690895,319630,41
76561198149690895,322330,9248
76561198149690895,327030,603
76561198149690895,344760,588
76561198149690895,346010,281
76561198149690895,348670,220
76561198149690895,354640,18
76561198149690895,355150,4
76561198149690895,356190,1066
76561198149690895,360380,246
76561198149690895,361420,1345
76561198149690895,365670,9998
76561198149690895,367450,14
76561198149690895,370510,11
76561198149690895,374030,31
76561198149690895,377160,3087
76561198149690895,381210,237
76561198149690895,387990,898
76561198149690895,394360,71
76561198149690895,397340,1468
76561198149690895,403640,1325
76561198149690895,413150,4943
76561198149690895,431960,741
76561198149690895,441790,120
76561198149690895,474960,1
76561198149690895,489830,12532
76561198149690895,503620,20
76561198149690895,552500,504
76561198149690895,582500,34
76561198149690895,588430,1101
76561198149690895,613100,1767
76561198149690895,648800,1882
76561198149690895,657200,67
76561198149690895,732430,4
76561198149690895,761890,1131
76561198149690895,794260,793
76561198149690895,799500,7
76561198149690895,846770,580
76561198149690895,865360,418
76561198149690895,880940,440
76561198149690895,933110,10
76561198149690895,945360,705
76561198149690895,1008710,26
76561198149690895,1085660,190
76561198149690895,1110910,28
76561198149690895,1119730,162
76561198149690895,1128810,38
76561198149690895,1172620,4367
76561198149690895,1186640,193
76561198149690895,1239690,1334
76561198149690895,1279510,1364
76561198149690895,1362420,24
76561198149690895,1504980,28
76561198149690895,1552620,17
76561198149690895,1582170,15
76561198149690895,1623730,257
76561198149690895,2071280,2426
76561198149690895,2239140,96
76561198149690895,2543510,29
76561198149690895,2707930,37
76561198149690895,2780980,96
76561198149690895,2868840,218
76561198149690895,2956680,322
76561198149690895,3564740,180
76561198149690895,3678970,1723
76561198149690895,3716600,355
76561198009405343,220,33
76561198009405343,240,2561
76561198009405343,400,722
76561198009405343,440,2218
76561198009405343,620,1371
76561198009405343,730,6089
76561198009405343,2760,3
76561198009405343,8870,662
76561198009405343,15700,2
76561198009405343,17410,40
76561198009405343,17480,1065
76561198009405343,17710,118
76561198009405343,20900,3199
