final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,macro_target
general_final_0050,52,35,10247,40,25,0.769231,0.92915,292.771429,17,14,16,8,7,3,15,12,1,1,0,0,8,5,7,2,1,1,2,0,3,2,1,0,0,0,combat
general_final_0051,20,16,47440,18,15,0.9,0.999515,2965.0,12,12,3,2,3,1,8,8,1,1,1,1,2,2,1,0,0,0,0,0,1,0,2,1,0,0,combat
general_final_0053,3,3,991,2,2,0.666667,0.729566,330.333333,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,strategic_reasoning
general_final_0054,204,146,524162,171,123,0.838235,0.951412,3590.150685,92,69,64,43,15,11,63,51,15,13,12,3,16,11,28,19,19,13,4,3,0,0,10,7,0,0,combat
general_final_0055,48,26,29926,36,19,0.75,0.989006,1151.0,19,14,9,1,8,4,15,12,2,1,2,1,1,1,5,0,3,0,3,2,3,2,2,0,0,0,combat
general_final_0056,205,181,291326,152,133,0.741463,0.849361,1609.535912,74,61,55,51,23,21,63,53,1,0,7,5,28,27,16,14,10,10,7,5,12,12,4,4,0,0,combat
general_final_0058,86,65,208661,73,57,0.848837,0.883361,3210.169231,49,39,14,10,10,8,37,28,4,4,4,4,5,4,3,2,4,2,2,2,2,2,4,2,0,0,combat
general_final_0060,3,3,2280,2,2,0.666667,0.987281,760.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,exploration
general_final_0061,99,80,333601,83,69,0.838384,0.893678,4170.0125,53,44,23,18,7,7,40,33,4,4,8,7,8,7,7,5,8,6,1,1,1,1,5,5,0,0,combat
general_final_0063,4,4,338,2,2,0.5,0.902367,84.5,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combat
general_final_0065,58,30,19795,49,25,0.844828,0.883304,659.833333,18,9,25,13,6,3,7,6,7,2,2,0,6,3,11,2,4,4,2,1,4,2,0,0,0,0,combat
general_final_0066,84,66,90262,70,55,0.833333,0.837861,1367.606061,39,32,19,13,12,10,20,14,6,6,6,5,2,2,9,6,4,2,6,4,1,1,5,5,0,0,combat
general_final_0067,94,73,117970,65,51,0.691489,0.928889,1616.027397,43,37,16,11,6,3,25,22,3,3,5,2,4,2,7,4,2,2,1,0,2,1,2,1,0,0,combat
general_final_0068,46,31,20697,39,28,0.847826,0.983621,667.645161,20,16,13,9,6,3,13,12,2,2,2,1,6,4,6,5,1,0,1,0,0,0,5,3,0,0,combat
general_final_0069,72,24,13891,66,20,0.916667,0.943129,578.791667,25,10,33,8,8,2,15,5,3,1,6,3,9,2,16,3,8,3,1,1,2,0,5,1,0,0,combat
general_final_0071,81,79,115134,67,65,0.82716,0.877265,1457.392405,23,22,35,35,9,8,14,13,5,5,4,4,14,14,13,13,6,6,2,1,2,2,4,4,0,0,combat
general_final_0073,52,36,89193,41,27,0.788462,0.923032,2477.583333,25,20,11,6,5,1,19,15,2,1,1,1,5,4,3,1,3,1,2,0,1,0,1,0,0,0,combat
general_final_0076,25,24,130884,22,21,0.88,0.996654,5453.5,16,16,4,4,2,1,13,13,1,1,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,combat
general_final_0077,64,50,115738,52,39,0.8125,0.79044,2314.76,11,7,27,19,14,13,5,3,4,2,2,2,12,10,6,5,7,4,0,0,6,6,8,7,0,0,strategic_reasoning
general_final_0078,139,93,22270,108,68,0.776978,0.790436,239.462366,38,29,55,35,15,4,31,25,3,2,2,1,2,0,40,28,8,3,12,3,1,1,2,0,0,0,combat
