final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,game_share_combat,game_share_exploration,game_share_strategic_reasoning,played_game_share_combat,played_game_share_exploration,played_game_share_strategic_reasoning,has_recent_activity,recent_total_playtime_minutes,recent_active_games,recent_categorized_playtime_minutes,recent_categorized_active_games,recent_category_playtime_coverage,recent_active_games_combat,recent_active_games_exploration,recent_active_games_strategic_reasoning,recent_active_game_share_combat,recent_active_game_share_exploration,recent_active_game_share_strategic_reasoning,macro_target
general_final_0018,19,19,16675,15,15,0.789474,0.848276,877.631579,9,9,4,4,2,2,4,4,2,2,2,2,2,2,0,0,2,2,1,1,0,0,1,1,0,0,0.6,0.2666666666666666,0.1333333333333333,0.6,0.2666666666666666,0.1333333333333333,1,2368.0,9,1868.0,8,0.7888513513513513,4,3,1,0.5,0.375,0.125,combat
general_final_0019,146,135,163105,108,101,0.739726,0.957978,1208.185185,79,76,24,22,5,3,50,47,9,9,4,4,12,11,8,7,3,3,2,2,0,0,3,1,0,0,0.7314814814814815,0.2222222222222222,0.0462962962962962,0.7524752475247525,0.2178217821782178,0.0297029702970297,1,30.0,2,30.0,2,1.0,0,2,0,0.0,1.0,0.0,combat
general_final_0021,35,19,5715,26,13,0.742857,0.764129,300.789474,10,9,13,4,3,0,8,8,1,0,0,0,3,2,8,2,2,0,1,0,1,0,1,0,0,0,0.3846153846153846,0.5,0.1153846153846153,0.6923076923076923,0.3076923076923077,0.0,1,23.0,3,14.0,2,0.6086956521739131,0,2,0,0.0,1.0,0.0,exploration
general_final_0022,50,34,21470,45,31,0.9,0.947974,631.470588,18,13,20,16,7,2,11,8,3,3,4,2,7,6,8,6,4,3,3,0,3,2,1,0,0,0,0.4,0.4444444444444444,0.1555555555555555,0.4193548387096774,0.5161290322580645,0.064516129032258,1,495.0,4,428.0,3,0.8646464646464647,0,3,0,0.0,1.0,0.0,combat
general_final_0029,69,35,86110,50,22,0.724638,0.819998,2460.285714,20,11,20,9,10,2,10,8,2,0,6,2,4,3,9,1,6,5,4,2,1,0,4,0,0,0,0.4,0.4,0.2,0.5,0.4090909090909091,0.0909090909090909,1,4680.0,7,3958.0,5,0.8457264957264957,3,2,0,0.6,0.4,0.0,combat
general_final_0030,11,9,4721,11,9,1.0,1.0,524.555556,7,5,2,2,2,2,5,4,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0.6363636363636364,0.1818181818181818,0.1818181818181818,0.5555555555555556,0.2222222222222222,0.2222222222222222,1,3830.0,9,3830.0,9,1.0,5,2,2,0.5555555555555556,0.2222222222222222,0.2222222222222222,combat
general_final_0031,154,96,187528,118,72,0.766234,0.962886,1953.416667,64,45,34,16,20,11,44,31,4,3,12,7,6,3,17,8,11,5,7,3,4,2,7,4,0,0,0.5423728813559322,0.288135593220339,0.1694915254237288,0.625,0.2222222222222222,0.1527777777777778,1,1543.0,10,1543.0,10,1.0,7,2,1,0.7,0.2,0.1,combat
general_final_0033,82,69,123891,61,51,0.743902,0.784875,1795.521739,36,31,20,17,5,3,22,18,5,5,9,8,10,9,4,3,4,3,0,0,2,2,2,0,0,0,0.5901639344262295,0.3278688524590163,0.081967213114754,0.6078431372549019,0.3333333333333333,0.0588235294117647,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,combat
general_final_0034,38,24,7769,33,20,0.868421,0.929721,323.708333,22,13,8,5,3,2,18,10,0,0,2,1,3,2,3,2,1,1,1,0,0,0,2,2,0,0,0.6666666666666666,0.2424242424242424,0.0909090909090909,0.65,0.25,0.1,1,439.0,10,426.0,9,0.9703872437357632,7,1,1,0.7777777777777778,0.1111111111111111,0.1111111111111111,strategic_reasoning
general_final_0035,53,37,72618,43,28,0.811321,0.737958,1962.648649,35,20,6,6,2,2,31,16,2,2,1,1,4,4,1,1,1,1,0,0,1,1,1,1,0,0,0.813953488372093,0.1395348837209302,0.0465116279069767,0.7142857142857143,0.2142857142857142,0.0714285714285714,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,combat
