final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,exploration_subgroup_target
strategic_final_0027,498,464,1918340,419,393,0.841365,0.842867,4134.353448,174,167,130,121,115,105,98,92,21,20,48,48,50,47,55,53,23,19,33,30,25,22,43,40,0,0,narrative_exploration
strategic_final_0029,733,511,352551,527,413,0.718963,0.820539,689.923679,126,91,221,190,180,132,62,36,24,19,39,35,52,44,106,89,59,54,67,48,56,33,44,41,1,1,narrative_exploration
strategic_final_0031,261,131,270498,179,84,0.685824,0.814128,2064.870229,15,6,84,40,80,38,1,0,3,1,9,4,16,10,34,13,30,14,55,29,18,6,5,2,0,0,open_world
strategic_final_0051,508,403,824694,376,293,0.740157,0.802424,2046.387097,99,72,162,130,115,91,52,36,28,22,19,14,29,27,75,56,56,46,97,78,7,7,9,5,0,0,narrative_exploration
strategic_final_0053,1361,456,299865,1014,342,0.74504,0.74888,657.598684,277,61,492,187,245,94,119,26,76,10,72,21,58,6,286,128,125,39,121,67,54,8,63,15,0,0,narrative_exploration
strategic_final_0055,242,219,107534,166,146,0.68595,0.746834,491.022831,31,29,78,72,57,45,7,6,9,9,15,14,27,25,17,16,31,29,26,21,7,6,22,16,0,0,open_world
strategic_final_0073,1022,334,206598,813,269,0.795499,0.902947,618.556886,268,79,297,99,248,91,145,42,48,13,67,20,91,42,134,32,68,23,81,34,45,27,99,27,15,0,investigation
strategic_final_0080,363,228,2225289,319,198,0.878788,0.922992,9760.039474,126,78,89,59,104,61,77,50,13,6,33,21,30,22,33,21,24,16,30,13,12,12,59,34,0,0,narrative_exploration
strategic_final_0090,745,372,524422,608,294,0.816107,0.815294,1409.736559,190,76,256,139,162,79,88,27,36,22,62,25,60,36,137,74,53,25,61,28,35,24,59,22,0,0,open_world
strategic_final_0109,261,243,113181,195,182,0.747126,0.838754,465.765432,44,38,109,103,42,41,34,30,4,4,4,4,22,19,64,63,22,21,24,23,11,11,4,4,0,0,narrative_exploration
strategic_final_0120,532,353,1312293,408,269,0.766917,0.883139,3717.543909,93,62,179,112,136,95,41,22,22,21,30,19,21,15,103,55,54,41,91,66,11,10,21,15,9,2,narrative_exploration
strategic_final_0134,348,273,604751,266,211,0.764368,0.769632,2215.205128,58,48,142,99,66,64,22,18,12,10,23,19,16,12,59,39,63,46,22,21,14,13,23,23,0,0,open_world
strategic_final_0138,45,29,292340,36,26,0.8,0.965465,10080.689655,19,15,13,7,4,4,15,12,0,0,0,0,3,2,3,0,5,4,0,0,2,2,2,2,0,0,open_world
strategic_final_0140,62,50,10997,46,36,0.741935,0.851505,219.94,22,16,13,10,11,10,11,8,4,2,4,3,1,1,7,5,2,1,7,7,2,2,2,1,0,0,investigation
strategic_final_0150,681,491,866814,466,355,0.684288,0.739065,1765.405295,146,114,157,114,163,127,64,46,25,21,55,46,51,39,56,37,43,35,65,51,39,32,55,41,0,0,open_world
strategic_final_0160,272,240,403741,226,199,0.830882,0.92252,1682.254167,55,43,110,100,61,56,41,32,4,3,9,7,40,36,34,30,34,33,22,21,23,22,16,13,0,0,open_world
strategic_final_0162,151,140,466049,128,118,0.847682,0.923358,3328.921429,28,26,67,61,33,31,17,16,3,3,8,7,16,14,32,29,15,15,11,11,8,8,13,11,1,1,open_world
strategic_final_0169,799,660,733314,574,476,0.718398,0.844588,1111.081818,127,106,329,269,118,101,88,73,19,16,19,17,77,66,167,132,74,62,84,68,17,16,15,15,0,0,open_world
strategic_final_0188,190,166,331954,148,130,0.778947,0.933229,1999.722892,46,43,64,54,38,33,24,22,12,11,10,10,26,23,20,16,16,14,10,7,11,11,15,13,0,0,open_world
strategic_final_0189,37,35,31714,27,26,0.72973,0.86167,906.114286,8,8,11,10,8,8,7,7,0,0,1,1,5,4,5,5,1,1,2,2,3,3,2,2,0,0,narrative_exploration
strategic_final_0191,12,9,6733,10,7,0.833333,0.970593,748.111111,2,1,6,4,2,2,1,1,0,0,1,0,6,4,0,0,0,0,0,0,2,2,0,0,0,0,open_world
strategic_final_0192,3,3,573,2,2,0.666667,0.95637,191.0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,open_world
strategic_final_0194,41,37,42183,35,32,0.853659,0.828438,1140.081081,15,13,9,8,11,11,11,9,1,1,3,3,4,3,3,3,2,2,2,2,7,7,2,2,0,0,investigation
strategic_final_0196,88,78,130595,70,62,0.795455,0.91002,1674.294872,11,8,39,36,20,18,8,5,1,1,1,1,17,16,16,14,5,5,0,0,9,9,11,9,0,0,narrative_exploration
strategic_final_0201,40,38,31448,23,22,0.575,0.897386,827.578947,4,4,12,11,7,7,3,3,0,0,1,1,7,7,1,1,4,3,3,3,2,2,1,1,0,0,open_world
strategic_final_0207,40,39,114921,33,33,0.825,0.960286,2946.692308,12,12,11,11,10,10,11,11,0,0,0,0,6,6,2,2,3,3,2,2,7,7,0,0,0,0,open_world
strategic_final_0220,56,43,97753,38,30,0.678571,0.912125,2273.325581,4,1,23,18,11,11,2,1,0,0,1,0,9,7,5,4,6,4,2,2,7,7,2,2,0,0,narrative_exploration
strategic_final_0225,58,38,12654,46,26,0.793103,0.710447,333.0,27,10,13,11,6,5,24,8,0,0,1,1,3,3,6,5,3,3,3,2,2,2,0,0,0,0,narrative_exploration
strategic_final_0232,114,102,398658,80,72,0.701754,0.845913,3908.411765,23,20,27,26,30,26,13,11,1,1,8,8,15,14,4,4,8,8,2,2,11,8,15,14,0,0,open_world
strategic_final_0239,130,95,290051,101,70,0.776923,0.917301,3053.168421,16,11,48,33,37,26,4,2,3,2,8,6,17,11,14,9,13,9,13,9,11,8,10,6,0,0,open_world
strategic_final_0248,61,47,87478,44,34,0.721311,0.728903,1861.234043,6,4,24,20,14,10,2,1,1,1,1,1,4,4,11,8,7,6,4,2,7,7,3,1,0,0,open_world
strategic_final_0267,278,223,380889,233,187,0.838129,0.966541,1708.022422,44,37,124,102,65,48,17,13,12,12,13,11,33,29,60,47,29,26,30,20,20,18,12,8,0,0,open_world
strategic_final_0272,70,64,306930,53,47,0.757143,0.7423,4795.78125,24,19,18,18,11,10,21,18,0,0,1,1,13,13,5,5,0,0,3,3,4,4,3,2,0,0,open_world
strategic_final_0281,22,17,35501,19,15,0.863636,0.995803,2088.294118,9,8,6,6,4,1,5,5,0,0,3,2,4,4,1,1,1,1,2,0,1,1,1,0,0,0,open_world
strategic_final_0294,451,121,68134,362,96,0.802661,0.845143,563.090909,113,44,177,35,72,17,13,5,57,23,42,16,31,9,67,8,73,15,20,4,16,6,35,7,0,0,narrative_exploration
strategic_final_0295,12,7,9116,10,5,0.833333,0.874287,1302.285714,2,2,6,3,2,0,1,1,1,1,0,0,3,2,0,0,3,1,1,0,0,0,1,0,0,0,open_world
