steamid,hours_combat_shooter,games_combat_shooter,hours_combat_fighting,games_combat_fighting,hours_combat_action,games_combat_action,total_playtime,num_games,avg_playtime_per_game,combat_shooter,combat_fighting,combat_action,diversity,entropy,dominance,second_max,gap,target
76561197964163072,3963.633333333333,127,38.33333333333333,10,3026.2833333333338,54,7028.25,191,36.797120418848166,0.5639573625487615,0.005454178968211622,0.4305884584830269,3,1.0304597486351585,0.5639573625487615,0.4305884584830269,0.1333689040657346,combat_shooter
76561197970087759,4630.583333333333,84,145.46666666666667,10,10279.183333333334,37,15055.233333333334,131,114.92544529262086,0.30757300340745297,0.009662199412385948,0.6827647971801611,3,0.9637436532709547,0.6827647971801611,0.30757300340745297,0.37519179377270817,combat_action
76561197993572531,2970.9166666666665,246,1008.6666666666666,111,7043.733333333334,452,11023.316666666666,809,13.625854964977338,0.2695120494587987,0.09150301104174637,0.638984939499455,3,1.2383695900939788,0.638984939499455,0.2695120494587987,0.3694728900406563,combat_action
76561198002012416,382.3833333333333,21,73.91666666666667,10,371.8833333333333,28,828.1833333333334,59,14.037005649717516,0.4617133887424282,0.08925157473184278,0.44903503652572896,3,1.3445878336350747,0.4617133887424282,0.44903503652572896,0.012678352216699218,combat_shooter
76561198009405343,529.5833333333334,18,58.83333333333333,3,231.9,23,820.3166666666667,44,18.643560606060607,0.6455840224303623,0.0717202706271968,0.2826957069424409,3,1.195478298617836,0.6455840224303623,0.2826957069424409,0.3628883154879214,combat_shooter
76561198016136462,1192.3833333333334,34,135.6,5,93.81666666666666,7,1421.8,46,30.90869565217391,0.8386435035401135,0.09537206358137572,0.0659844328785108,3,0.7950188462370937,0.8386435035401135,0.09537206358137572,0.7432714399587378,combat_shooter
76561198021094241,3813.4666666666667,163,180.85,21,637.3166666666667,113,4631.633333333333,297,15.594725028058361,0.8233524530583164,0.03904670058798552,0.13760084635369813,3,0.8073052684784716,0.8233524530583164,0.13760084635369813,0.6857516067046183,combat_shooter
76561198054080295,2952.0833333333335,57,793.9333333333334,10,1438.1333333333334,29,5184.150000000001,96,54.001562500000006,0.5694440425785005,0.1531462888483808,0.2774096685731187,3,1.3903541825758214,0.5694440425785005,0.2774096685731187,0.29203437400538174,combat_shooter
76561198057419230,37.06666666666667,13,11.333333333333332,5,123.3,19,171.7,37,4.64054054054054,0.21588041157056886,0.066006600660066,0.7181129877693652,3,1.0793448549059699,0.7181129877693652,0.21588041157056886,0.5022325761987962,combat_action
76561198067629039,221.7,16,464.01666666666665,26,2548.2166666666667,57,3233.9333333333334,99,32.665993265993265,0.06855428889484425,0.14348368344018636,0.7879620276649694,3,0.9378792985681631,0.7879620276649694,0.14348368344018636,0.644478344224783,combat_action
76561198070677644,7140.55,231,725.1166666666667,48,1662.3166666666666,196,9527.983333333334,475,20.058912280701755,0.7494293126037515,0.07610389746693512,0.17446678992931347,3,1.0341352739920642,0.7494293126037515,0.17446678992931347,0.5749625226744379,combat_shooter
76561198079201794,2407.616666666667,51,30.933333333333334,6,421.8,32,2860.3500000000004,89,32.13876404494383,0.8417210015091393,0.010814527359705397,0.14746447113115527,3,0.6871005681039298,0.8417210015091393,0.14746447113115527,0.6942565303779841,combat_shooter
76561198090208789,16460.783333333333,28,190.85,6,2825.366666666667,23,19477.0,57,341.70175438596493,0.845139566326094,0.009798736971812907,0.14506169670209307,3,0.6745714725798748,0.845139566326094,0.14506169670209307,0.7000778696240009,combat_shooter
76561198090781234,3162.766666666667,45,75.3,7,423.55,17,3661.6166666666672,69,53.06690821256039,0.8637623636189843,0.020564686818663882,0.11567294956235177,3,0.6577055044502584,0.8637623636189843,0.11567294956235177,0.7480894140566325,combat_shooter
76561198110543020,3383.2166666666667,68,137.06666666666666,11,885.95,31,4406.233333333334,110,40.05666666666667,0.7678251265253012,0.031107446269300308,0.2010674272053984,3,0.9137192519451844,0.7678251265253012,0.2010674272053984,0.5667576993199028,combat_shooter
76561198111573586,429.06666666666666,29,769.0333333333333,17,215.85,20,1413.9499999999998,66,21.423484848484847,0.3034525030352323,0.5438900479743508,0.15265744899041694,3,1.4138965344334244,0.5438900479743508,0.3034525030352323,0.2404375449391185,combat_fighting
76561198119630343,2333.366666666667,31,67.88333333333333,4,937.4833333333333,15,3338.7333333333336,50,66.77466666666668,0.6988778179349454,0.020332062059463665,0.28079012000559095,3,0.990039561504829,0.6988778179349454,0.28079012000559095,0.41808769792935446,combat_shooter
76561198149690895,1956.3666666666668,32,83.68333333333334,7,3988.883333333333,27,6028.933333333333,66,91.34747474747475,0.324496317756596,0.013880288387111042,0.661623393856293,3,1.00681903568181,0.661623393856293,0.324496317756596,0.337127076099697,combat_action
76561198151033409,67.05,11,5.716666666666667,1,110.65,11,183.41666666666669,23,7.974637681159421,0.36556110858700586,0.0311676510676965,0.6032712403452976,3,1.1265420914221858,0.6032712403452976,0.36556110858700586,0.2377101317582917,combat_action
76561198192648407,683.0833333333334,9,47.2,1,8.55,6,738.8333333333334,16,46.177083333333336,0.9245431987367472,0.06388450259418002,0.011572298669072863,3,0.4326119304019791,0.9245431987367472,0.06388450259418002,0.8606586961425672,combat_shooter
76561198208272697,241.31666666666666,13,2143.483333333333,30,586.4333333333334,24,2971.233333333333,67,44.34676616915423,0.08121767616141445,0.7214119838002176,0.19737034003836795,3,1.0960845589681394,0.7214119838002176,0.19737034003836795,0.5240416437618497,combat_fighting
76561198215471111,730.6833333333333,40,120.63333333333334,7,1111.4666666666667,46,1962.7833333333333,93,21.10519713261649,0.37226897178326696,0.061460341182164785,0.5662706870345683,3,1.2426179397221109,0.5662706870345683,0.37226897178326696,0.19400171525130133,combat_action
76561198217774529,973.8833333333333,50,8.766666666666666,3,165.06666666666666,19,1147.7166666666667,72,15.94050925925926,0.8485398544937048,0.007638354413836167,0.14382179109245893,3,0.6571371769175198,0.8485398544937048,0.14382179109245893,0.7047180634012459,combat_shooter
76561198234335792,4656.133333333333,75,458.41666666666663,27,404.25,50,5518.8,152,36.30789473684211,0.8436858254209851,0.08306455509651856,0.0732496194824962,3,0.7812878483557659,0.8436858254209851,0.08306455509651856,0.7606212703244666,combat_shooter
76561198249570110,45.68333333333334,16,262.9166666666667,9,29.78333333333333,13,338.3833333333333,38,8.904824561403508,0.13500467911146138,0.776978771610107,0.08801654927843175,3,0.9814721092397398,0.776978771610107,0.13500467911146138,0.6419740924986456,combat_fighting
76561198261188424,3656.75,52,25.266666666666666,6,285.71666666666664,28,3967.7333333333336,86,46.13643410852713,0.9216219167954836,0.006368035486255796,0.07201004771826063,3,0.42830373160912444,0.9216219167954836,0.07201004771826063,0.849611869077223,combat_shooter
76561198262757188,4548.266666666666,60,109.45,9,443.48333333333335,26,5101.2,95,53.69684210526316,0.8916072035338091,0.02145573590527719,0.08693706056091378,3,0.5728531203621503,0.8916072035338091,0.08693706056091378,0.8046701429728953,combat_shooter
76561198271859829,1870.5666666666666,46,59.46666666666667,1,379.46666666666664,28,2309.5,75,30.793333333333333,0.809944432416829,0.025748719058959372,0.16430684852421157,3,0.8103522485093755,0.809944432416829,0.16430684852421157,0.6456375838926174,combat_shooter
76561198273281065,1469.8666666666666,39,2.4000000000000004,3,308.6666666666667,17,1780.9333333333334,59,30.18531073446328,0.8253350303211798,0.001347607995807442,0.17331736168301265,3,0.6796600402791095,0.8253350303211798,0.17331736168301265,0.6520176686381671,combat_shooter
76561198294701020,4072.9333333333334,63,143.88333333333333,12,717.6,109,4934.416666666667,184,26.817481884057973,0.8254133382872004,0.029159137351595085,0.14542752436120446,3,0.7817179340838074,0.8254133382872004,0.14542752436120446,0.679985813925996,combat_shooter
76561198301672671,2817.55,70,80.08333333333334,6,259.96666666666664,56,3157.6000000000004,132,23.921212121212125,0.8923074486952115,0.02536208935056161,0.08233046195422682,3,0.5777227152742606,0.8923074486952115,0.08233046195422682,0.8099769867409847,combat_shooter
76561198318128729,83.81666666666668,4,1.9,1,25.599999999999998,3,111.31666666666668,8,13.914583333333335,0.7529570294954334,0.017068423416679142,0.22997454708788737,3,0.8961161035659322,0.7529570294954334,0.22997454708788737,0.5229824824075461,combat_shooter
76561198321959737,3174.7999999999997,74,133.36666666666667,19,251.1,87,3559.2666666666664,180,19.773703703703703,0.8919814943153084,0.03747026541047782,0.07054824027421379,3,0.5945031371011287,0.8919814943153084,0.07054824027421379,0.8214332540410946,combat_shooter
76561198348540244,1220.95,6,4.4,1,1265.05,1,2490.4,8,311.3,0.4902626084163187,0.0017667844522968198,0.5079706071313845,3,1.0167099261920347,0.5079706071313845,0.4902626084163187,0.017707998715065842,combat_action
76561198351063966,3281.0166666666664,35,82.63333333333333,4,2706.5499999999997,23,6070.199999999999,62,97.90645161290321,0.5405121193151242,0.013612950699043416,0.44587492998583245,3,1.083717321676905,0.5405121193151242,0.44587492998583245,0.09463718932929177,combat_shooter
76561198389287631,3727.4,36,7.966666666666667,2,36.38333333333333,11,3771.75,49,76.97448979591837,0.9882415324451514,0.0021121937208634367,0.009646273833985109,3,0.10022455065332045,0.9882415324451514,0.009646273833985109,0.9785952586111664,combat_shooter
76561198402634405,1567.3333333333333,7,0.016666666666666666,1,4.266666666666666,3,1571.6166666666666,11,142.87424242424242,0.9972745686501161,1.060479124468435e-05,0.0027148265586391927,3,0.027245537410019893,0.9972745686501161,0.0027148265586391927,0.9945597420914769,combat_shooter
76561198402842854,1083.4833333333333,22,0.0,0,2598.8333333333335,29,3682.3166666666666,51,72.20228758169935,0.2942395864921992,0.0,0.7057604135078008,2,0.8741350101683196,0.7057604135078008,0.2942395864921992,0.4115208270156016,combat_action
76561198408630774,558.6833333333333,27,7.083333333333333,3,308.78333333333336,22,874.55,52,16.81826923076923,0.6388237760372001,0.008099403502753797,0.3530768204600462,3,0.9995827284105454,0.6388237760372001,0.3530768204600462,0.2857469555771539,combat_shooter
76561198416904447,1101.3,17,158.48333333333335,3,37.300000000000004,7,1297.0833333333333,27,48.04012345679012,0.849058785737231,0.12218438805011245,0.028756826212656607,3,0.7182346160315631,0.849058785737231,0.12218438805011245,0.7268743976871186,combat_shooter
76561198419798999,1010.0333333333333,49,0.0,0,170.3,37,1180.3333333333333,86,13.724806201550386,0.8557187235244281,0.0,0.1442812764755719,2,0.5953421956180878,0.8557187235244281,0.1442812764755719,0.7114374470488563,combat_shooter
76561198438689701,123.81666666666666,9,2.933333333333333,1,127.05,5,253.8,15,16.92,0.48785132650380875,0.011557656947727868,0.5005910165484633,3,1.07927494623333,0.5005910165484633,0.48785132650380875,0.012739690044654528,combat_action
76561198439497587,2294.1333333333337,33,49.46666666666667,5,157.51666666666668,20,2501.1166666666672,58,43.122701149425296,0.9172436311780737,0.01977783256811957,0.06297853625380663,3,0.47747285899462505,0.9172436311780737,0.06297853625380663,0.854265094924267,combat_shooter
76561198443835056,442.3166666666666,11,0.0,0,7.1000000000000005,2,449.41666666666663,13,34.57051282051282,0.9842017430001854,0.0,0.01579825699981458,2,0.11714927816927183,0.9842017430001854,0.01579825699981458,0.9684034860003707,combat_shooter
76561198448604074,205.66666666666666,26,101.19999999999999,3,375.73333333333335,28,682.6,57,11.975438596491228,0.30129895497607184,0.14825666569000878,0.5504443793339193,3,1.403856666370929,0.5504443793339193,0.30129895497607184,0.24914542435784748,combat_action
76561198681768628,7.916666666666667,7,0.0,0,2.066666666666667,1,9.983333333333334,8,1.2479166666666668,0.7929883138564273,0.0,0.20701168614357263,2,0.7357317228110397,0.7929883138564273,0.20701168614357263,0.5859766277128546,combat_shooter
76561198688946192,1.7666666666666666,1,0.0,0,0.0,0,1.7666666666666666,1,1.7666666666666666,1.0,0.0,0.0,1,-0.0,1.0,0.0,1.0,combat_shooter
