steamid,hours_exploration_rpg,games_exploration_rpg,hours_exploration_open_world,games_exploration_open_world,hours_exploration_adventure,games_exploration_adventure,total_playtime,num_games,avg_playtime_per_game,exploration_rpg,exploration_open_world,exploration_adventure,diversity,entropy,dominance,second_max,gap,target
76561197964163072,506.85,35,5903.383333333333,60,425.5166666666667,27,6835.75,122,56.03073770491803,0.07414694803057456,0.8636043350522377,0.06224871691718783,3,0.7103669934150081,0.8636043350522377,0.07414694803057456,0.7894573870216631,exploration_open_world
76561197970087759,4823.533333333334,37,1099.05,27,89.16666666666667,7,6011.750000000001,71,84.67253521126761,0.8023509516086552,0.1828169834074936,0.014832064983851067,3,0.7931904035941186,0.8023509516086552,0.1828169834074936,0.6195339682011616,exploration_rpg
76561197993572531,5890.55,455,5689.383333333333,443,1463.2333333333333,205,13043.166666666668,1103,11.825173768510124,0.4516196220243039,0.4361964758046997,0.1121839021709963,3,1.394091142645212,0.4516196220243039,0.4361964758046997,0.015423146219604167,exploration_rpg
76561198002012416,665.8833333333333,17,253.78333333333333,29,128.26666666666665,7,1047.9333333333334,53,19.772327044025158,0.6354252815064572,0.24217507475030217,0.12239964374324064,3,1.2820705243471202,0.6354252815064572,0.24217507475030217,0.39325020675615496,exploration_rpg
76561198009405343,384.15,18,607.0833333333334,22,173.96666666666667,30,1165.2,70,16.645714285714288,0.32968589083419153,0.5210121295342717,0.1493019796315368,3,1.4274819012393354,0.5210121295342717,0.32968589083419153,0.19132623870008014,exploration_open_world
76561198016136462,0.0,0,812.3166666666666,15,69.78333333333333,2,882.0999999999999,17,51.88823529411764,0.0,0.9208895438914712,0.07911045610852889,2,0.39903704544317253,0.9208895438914712,0.07911045610852889,0.8417790877829423,exploration_open_world
76561198021094241,141.95,45,2148.2833333333333,99,94.58333333333333,26,2384.8166666666666,170,14.028333333333332,0.05952239515266722,0.900816974051115,0.03966063079621774,3,0.5626949391743603,0.900816974051115,0.05952239515266722,0.8412945788984478,exploration_open_world
76561198054080295,926.1166666666667,11,2664.7166666666667,35,89.26666666666667,11,3680.1000000000004,57,64.56315789473685,0.2516552992219414,0.724088113547639,0.02425658723041946,3,0.9683161685183426,0.724088113547639,0.2516552992219414,0.4724328143256976,exploration_open_world
76561198057419230,104.66666666666666,13,98.81666666666666,15,26.55,6,230.03333333333333,34,6.765686274509804,0.45500652079408777,0.4295754238516157,0.11541805535429649,3,1.4000996649622477,0.45500652079408777,0.4295754238516157,0.025431096942472087,exploration_rpg
76561198067629039,1667.7333333333333,70,973.0833333333334,30,105.03333333333333,12,2745.85,112,24.516517857142855,0.60736505392987,0.354383281436835,0.038251664633295095,3,1.1473945103481895,0.60736505392987,0.354383281436835,0.25298177249303494,exploration_rpg
