steamid,combat,exploration,puzzle,hours_combat,hours_exploration,hours_puzzle,games_combat,games_exploration,games_puzzle,total_playtime,num_games,avg_playtime_per_game,diversity,entropy,dominance,second_max,gap,target
76561197964163072,0.49376382253996615,0.47938838097518555,0.02684779648484833,6255.008333333333,6072.9,340.10833333333335,150.0,89.0,34.0,12668.016666666666,273.0,46.40299145299145,3,1.1513275918765582,0.49376382253996615,0.47938838097518555,0.0143754415647806,combat
76561197970087759,0.7174795534513577,0.27644093611538884,0.0060795104332533765,14621.527777777777,5633.594444444444,123.89444444444445,111.5,55.5,9.0,20379.016666666666,176.0,115.78986742424242,3,0.9012081193573318,0.7174795534513577,0.27644093611538884,0.4410386173359689,combat
76561197993572531,0.4059017270870379,0.5208546606200618,0.07324361229290029,8392.6,10769.416666666666,1514.4166666666667,546.1666666666666,900.1666666666666,252.66666666666666,20676.433333333334,1699.0,12.16976652933098,3,1.2943577239829789,0.5208546606200618,0.4059017270870379,0.11495293353302388,exploration
76561198002012416,0.40376902769196205,0.5476717407178565,0.048559231590181426,599.025,812.5166666666667,72.04166666666666,43.666666666666664,40.166666666666664,9.166666666666666,1483.5833333333333,93.0,15.952508960573477,3,1.2159251783703222,0.5476717407178565,0.40376902769196205,0.14390271302589447,exploration
76561198009405343,0.36798303842114655,0.48968137594863975,0.1423355856302138,619.0333333333333,823.7583333333333,239.44166666666666,33.666666666666664,49.166666666666664,32.166666666666664,1682.2333333333331,115.0,14.628115942028984,3,1.4354887305254782,0.48968137594863975,0.36798303842114655,0.1216983375274932,exploration
76561198016136462,0.6392285243805298,0.3368945945270166,0.02387688109245348,994.2027777777778,523.9777777777778,37.13611111111111,38.333333333333336,12.333333333333334,5.333333333333333,1555.3166666666668,56.00000000000001,27.773511904761904,3,1.0701381203652727,0.6392285243805298,0.3368945945270166,0.3023339298535132,combat
76561198021094241,0.6864378451441504,0.29791837325660603,0.015643781599243612,3924.5138888888887,1703.263888888889,89.43888888888888,229.0,124.5,38.5,5717.216666666666,392.0,14.584736394557822,3,0.9869000268123594,0.6864378451441504,0.29791837325660603,0.3885194718875444,combat
76561198054080295,0.5771202500374546,0.40809752863285864,0.014782221329686688,4023.336111111111,2845.011111111111,103.05277777777778,75.0,37.5,12.5,6971.400000000001,125.0,55.77120000000001,3,1.0752404298217941,0.5771202500374546,0.40809752863285864,0.16902272140459595,combat
76561198057419230,0.3022409457849928,0.4783625215051392,0.21939653270986814,114.19166666666666,180.73333333333332,82.89166666666667,25.166666666666668,27.166666666666668,7.666666666666666,377.8166666666666,60.0,6.296944444444444,3,1.5107550816551396,0.4783625215051392,0.3022409457849928,0.17612157572014642,exploration
76561198067629039,0.5012590628491607,0.4436506838766383,0.05509025327420103,2838.822222222222,2512.563888888889,311.9972222222222,65.16666666666667,101.66666666666667,18.166666666666668,5663.383333333333,185.0,30.612882882882882,3,1.2500131869244175,0.5012590628491607,0.4436506838766383,0.057608378972522356,combat
