steamid,hours_puzzle_narrative,games_puzzle_narrative,hours_puzzle_spatial,games_puzzle_spatial,hours_puzzle_logic,games_puzzle_logic,total_playtime,num_games,avg_playtime_per_game,puzzle_narrative,puzzle_spatial,puzzle_logic,diversity,entropy,dominance,second_max,gap,target
76561197964163072,42.516666666666666,12,229.4,13,121.13333333333333,20,393.05,45,8.734444444444446,0.10817114022813043,0.5836407581732604,0.30818810159860915,3,1.323818540308002,0.5836407581732604,0.30818810159860915,0.2754526565746513,puzzle_spatial
76561197970087759,6.9,1,77.93333333333334,3,40.349999999999994,5,125.18333333333334,9,13.90925925925926,0.05511915856743443,0.6225535880708295,0.32232725336173607,3,1.1826184272960631,0.6225535880708295,0.32232725336173607,0.30022633470909343,puzzle_spatial
76561197993572531,826.7333333333333,119,251.76666666666668,53,1041.1666666666667,168,2119.666666666667,340,6.234313725490197,0.39002987891177854,0.11877653719138229,0.4911935838968391,3,1.3986613937501806,0.4911935838968391,0.39002987891177854,0.10116370498506055,puzzle_logic
76561198002012416,7.65,2,59.38333333333333,5,30.833333333333332,7,97.86666666666666,14,6.99047619047619,0.07816757493188012,0.6067779291553134,0.31505449591280654,3,1.2497691871104673,0.6067779291553134,0.31505449591280654,0.2917234332425068,puzzle_spatial
76561198009405343,114.51666666666667,20,77.71666666666667,7,98.41666666666667,15,290.65000000000003,42,6.920238095238096,0.3940019496530764,0.2673891851596995,0.338608865187224,3,1.5672799935434614,0.3940019496530764,0.338608865187224,0.055393084465852394,puzzle_narrative
76561198016136462,0.75,1,23.633333333333333,3,29.016666666666666,2,53.4,6,8.9,0.014044943820224719,0.4425717852684145,0.5433832709113608,3,1.0850560493934054,0.5433832709113608,0.4425717852684145,0.10081148564294634,puzzle_logic
76561198021094241,11.533333333333333,8,32.15,7,44.13333333333333,31,87.81666666666666,46,1.9090579710144926,0.13133421901689127,0.36610362497627635,0.5025621560068324,3,1.4142245318517759,0.5025621560068324,0.36610362497627635,0.13645853103055605,puzzle_logic
76561198054080295,54.13333333333333,6,44.68333333333333,5,80.85000000000001,10,179.66666666666669,21,8.555555555555557,0.3012987012987013,0.24870129870129865,0.45,3,1.5391405425189253,0.45,0.3012987012987013,0.14870129870129872,puzzle_logic
76561198057419230,3.95,1,73.68333333333334,2,1.95,4,79.58333333333334,7,11.36904761904762,0.04963350785340314,0.9258638743455497,0.02450261780104712,3,0.44904020043328535,0.9258638743455497,0.04963350785340314,0.8762303664921466,puzzle_spatial
76561198067629039,0.0,0,138.5,9,92.21666666666667,14,230.71666666666667,23,10.031159420289855,0.0,0.6003034024416672,0.39969659755833276,2,0.9707728387043555,0.6003034024416672,0.39969659755833276,0.2006068048833345,puzzle_spatial
